Hence,hence,
thee,thee,
",",",",s
Caesar,caesar,
",",",",s
O,o,
",",",",s
',',
tis,tis,s,topic_34,0,freq3,0,ig5,0,sal5,0
true,true,,topic_46,0,freq1,0,ig5,0,sal2,0
:,:,n
If,if,s
then,then,s
thy,thy,s
spirit,spirit,s,topic_13,0,freq1,0,ig5,0,sal3,0
look,look,s
upon,upon,s
us,us,s
now,now,
",",",",n
Shall,shall,s
it,it,s
not,not,s
grieve,grieve,s,topic_35,0,freq3,0,ig4,0,sal2,0
thee,thee,s
dearer,dearer,s,topic_12,0,freq3,0,ig1,0,sal2,0
than,than,s
thy,thy,s
death,death,,topic_21,0,freq1,0,ig5,0,sal1,0
",",",",n
To,to,s
see,see,s
thy,thy,s
thy,thy,s
Anthony,anthony,s
making,making,s,topic_27,0,freq4,0,ig5,0,sal5,0
his,his,s
peace,peace,,topic_38,0,freq1,0,ig5,0,sal1,0
",",",",n
Shaking,shaking,s,topic_8,0,freq4,0,ig5,0,sal4,0
the,the,s
bloody,bloody,s,topic_21,0,freq2,0,ig5,0,sal2,0
fingers,fingers,s,topic_10,0,freq3,0,ig5,0,sal3,0
of,of,s
thy,thy,s
foes,foes,,topic_19,0,freq2,0,ig5,0,sal2,0
",",",",n
Most,most,s
noble,noble,,topic_17,0,freq1,0,ig5,0,sal2,0
!,!,s
in,in,s
the,the,s
presence,presence,s,topic_45,0,freq3,0,ig5,0,sal5,0
of,of,s
thy,thy,s
corse,corse,,topic_9,0,freq4,0,ig4,0,sal3,0
?,?,n
Had,had,s
I,i,s
as,as,s
many,many,s
eyes,eyes,s,topic_9,0,freq2,0,ig5,0,sal4,0
as,as,s
thou,thou,s
hast,hast,s,topic_28,0,freq1,0,ig5,0,sal1,0
wounds,wounds,,topic_14,0,freq4,0,ig5,0,sal5,0
",",",",n
Weeping,weeping,s,topic_9,0,freq3,0,ig4,0,sal2,0
as,as,s
fast,fast,s,topic_11,0,freq4,0,ig5,0,sal5,0
as,as,s
they,they,s
stream,stream,s,topic_36,0,freq3,0,ig4,0,sal2,0
forth,forth,s
thy,thy,s
blood,blood,,topic_21,0,freq1,0,ig5,0,sal2,0
",",",",n
It,it,s
would,would,s
become,become,s
me,me,s
better,better,s
than,than,s
to,to,s
close,close,n,topic_21,0,freq3,0,ig5,0,sal4,0
In,in,s
terms,terms,s,topic_8,0,freq4,0,ig5,0,sal5,0
of,of,s
friendship,friendship,s,topic_20,0,freq3,0,ig5,0,sal4,0
with,with,s
thine,thine,s,topic_28,0,freq2,0,ig5,0,sal2,0
enemies,enemies,,topic_21,0,freq3,0,ig5,0,sal3,0
.,.,n
Pardon,pardon,s,topic_27,0,freq1,0,ig5,0,sal1,0
me,me,
",",",",s
Julius,julius,
!,!,s
Here,here,s
wast,wast,s,topic_28,0,freq3,0,ig1,0,sal3,0
thou,thou,s
bay'd,bay'd,,topic_17,0,freq5,0,ig1,0,sal4,0
",",",",s
brave,brave,s,topic_30,0,freq2,0,ig5,0,sal5,0
hart,hart,,topic_0,0,freq5,0,ig5,0,sal5,0
;,;,n
Here,here,s
didst,didst,s,topic_28,0,freq2,0,ig5,0,sal3,0
thou,thou,s
fall,fall,,topic_28,0,freq3,0,ig5,0,sal5,0
;,;,s
and,and,s
here,here,s
thy,thy,s
hunters,hunters,s,topic_10,0,freq5,0,ig5,0,sal5,0
stand,stand,,topic_36,0,freq1,0,ig5,0,sal1,0
",",",",n
Sign'd,sign'd,s,topic_21,0,freq5,0,ig1,0,sal5,0
in,in,s
thy,thy,s
spoil,spoil,,topic_17,0,freq4,0,ig5,0,sal5,0
",",",",s
and,and,s
crimson'd,crimson'd,s,topic_9,0,freq5,0,ig3,0,sal5,0
in,in,s
thy,thy,s
lethe,lethe,,topic_21,0,freq5,0,ig5,0,sal5,0
.,.,n
O,o,s
world,world,,topic_31,0,freq1,0,ig5,0,sal3,0
",",",",s
thou,thou,s
wast,wast,s,topic_28,0,freq3,0,ig1,0,sal3,0
the,the,s
forest,forest,s,topic_9,0,freq5,0,ig5,0,sal5,0
to,to,s
this,this,s
hart,hart,,topic_36,0,freq5,0,ig5,0,sal4,0
;,;,n
And,and,s
this,this,
",",",",s
indeed,indeed,
",",",",s
O,o,s
world,world,,topic_31,0,freq1,0,ig5,0,sal3,0
",",",",s
the,the,s
heart,heart,s,topic_5,0,freq2,0,ig5,0,sal4,0
of,of,s
thee,thee,
.,.,n
How,how,s
like,like,s
a,a,s
deer,deer,,topic_41,0,freq2,0,ig5,0,sal2,0
",",",",s
strucken,strucken,s,topic_21,0,freq5,0,ig5,0,sal5,0
by,by,s
many,many,s
princes,princes,,topic_49,0,freq4,0,ig5,0,sal5,0
",",",",n
Dost,dost,s,topic_28,0,freq1,0,ig5,0,sal1,0
thou,thou,s
here,here,s
lie,lie,,topic_35,0,freq3,0,ig5,0,sal5,0
!,!,n
Mark,mark,s,topic_17,0,freq2,0,ig5,0,sal3,0
Antony,antony,
",",",",
--,--,n
Pardon,pardon,s,topic_27,0,freq1,0,ig5,0,sal1,0
me,me,
",",",",s
Caius,caius,s
Cassius,cassius,
:,:,n
The,the,s
enemies,enemies,s,topic_17,0,freq3,0,ig5,0,sal4,0
of,of,s
Caesar,caesar,s
shall,shall,s
say,say,s
this,this,
;,;,n
Then,then,
",",",",s
in,in,s
a,a,s
friend,friend,
",",",",s
it,it,s
is,is,s
cold,cold,s,topic_30,0,freq1,0,ig5,0,sal3,0
modesty,modesty,,topic_7,0,freq3,0,ig5,0,sal3,0
.,.,n
I,i,s
blame,blame,s,topic_17,0,freq4,0,ig5,0,sal5,0
you,you,s
not,not,s
for,for,s
praising,praising,s,topic_27,0,freq5,0,ig5,0,sal4,0
Caesar,caesar,s
so,so,
;,;,n
But,but,s
what,what,s
compact,compact,s,topic_16,0,freq4,0,ig5,0,sal4,0
mean,mean,s
you,you,s
to,to,s
have,have,s
with,with,s
us,us,
?,?,n
Will,will,s
you,you,s
be,be,s
prick'd,prick'd,s,topic_36,0,freq4,0,ig5,0,sal4,0
in,in,s
number,number,s,topic_17,0,freq4,0,ig5,0,sal5,0
of,of,s
our,our,s
friends,friends,,topic_17,0,freq1,0,ig5,0,sal2,0
;,;,n
Or,or,s
shall,shall,s
we,we,s
on,on,
",",",",s
and,and,s
not,not,s
depend,depend,s,topic_13,0,freq4,0,ig4,0,sal3,0
on,on,s
you,you,
?,?,n
Therefore,therefore,s
I,i,s
took,took,s
your,your,s
hands,hands,,topic_21,0,freq2,0,ig5,0,sal3,0
",",",",s
but,but,s
was,was,
",",",",s
indeed,indeed,
",",",",n
Sway'd,sway'd,s,topic_38,0,freq5,0,ig4,0,sal4,0
from,from,s
the,the,s
point,point,,topic_16,0,freq3,0,ig5,0,sal3,0
",",",",s
by,by,s
looking,looking,s
down,down,s
on,on,s
Caesar,caesar,
.,.,n
Friends,friends,s,topic_17,0,freq1,0,ig5,0,sal2,0
am,am,s
I,i,s
with,with,s
you,you,s
all,all,s
and,and,s
love,love,s,topic_5,0,freq1,0,ig5,0,sal1,0
you,you,s
all,all,
",",",",n
Upon,upon,s
this,this,s
hope,hope,,topic_46,0,freq2,0,ig5,0,sal4,0
",",",",s
that,that,s
you,you,s
shall,shall,s
give,give,s,topic_34,0,freq1,0,ig5,0,sal2,0
me,me,s
reasons,reasons,n,topic_35,0,freq2,0,ig4,0,sal1,0
Why,why,s
and,and,s
wherein,wherein,s
Caesar,caesar,s
was,was,s
dangerous,dangerous,,topic_21,0,freq5,0,ig5,0,sal5,0
.,.,n
Or,or,s
else,else,s
were,were,s
this,this,s
a,a,s
savage,savage,s,topic_28,0,freq4,0,ig4,0,sal4,0
spectacle,spectacle,,topic_21,0,freq5,0,ig1,0,sal4,0
:,:,n
Our,our,s
reasons,reasons,s,topic_35,0,freq2,0,ig4,0,sal1,0
are,are,s
so,so,s
full,full,s,topic_36,0,freq1,0,ig5,0,sal3,0
of,of,s
good,good,s,topic_23,0,freq1,0,ig5,0,sal3,0
regard,regard,n,topic_13,0,freq2,0,ig4,0,sal1,0
That,that,s
were,were,s
you,you,
",",",",s
Antony,antony,
",",",",s
the,the,s
son,son,s
of,of,s
Caesar,caesar,
",",",",n
You,you,s
should,should,s
be,be,s
satisfied,satisfied,,topic_27,0,freq3,0,ig5,0,sal4,0
.,.,n
That's,that's,s
all,all,s
I,i,s
seek,seek,,topic_36,0,freq2,0,ig5,0,sal2,0
:,:,n
And,and,s
am,am,s
moreover,moreover,s
suitor,suitor,s,topic_7,0,freq4,0,ig5,0,sal3,0
that,that,s
I,i,s
may,may,n
Produce,produce,s,topic_27,0,freq4,0,ig1,0,sal3,0
his,his,s
body,body,s,topic_21,0,freq2,0,ig5,0,sal2,0
to,to,s
the,the,s
market-place,market-place,,topic_17,0,freq4,0,ig5,0,sal3,0
;,;,n
And,and,s
in,in,s
the,the,s
pulpit,pulpit,,topic_17,0,freq5,0,ig5,0,sal5,0
",",",",s
as,as,s
becomes,becomes,s
a,a,s
friend,friend,
",",",",n
Speak,speak,s,topic_27,0,freq1,0,ig5,0,sal1,0
in,in,s
the,the,s
order,order,s,topic_38,0,freq3,0,ig5,0,sal3,0
of,of,s
his,his,s
funeral,funeral,,topic_9,0,freq4,0,ig1,0,sal3,0
.,.,n
You,you,s
shall,shall,
",",",",s
Mark,mark,s,topic_17,0,freq2,0,ig5,0,sal3,0
Antony,antony,
.,.,n
Brutus,brutus,
",",",",s
a,a,s
word,word,s,topic_34,0,freq2,0,ig5,0,sal2,0
with,with,s
you,you,
.,.,n
You,you,s
know,know,s
not,not,s
what,what,s
you,you,s
do,do,
:,:,s
do,do,s
not,not,s
consent,consent,n,topic_1,0,freq2,0,ig5,0,sal1,0
That,that,s
Antony,antony,s
speak,speak,s,topic_27,0,freq1,0,ig5,0,sal1,0
in,in,s
his,his,s
funeral,funeral,,topic_9,0,freq4,0,ig1,0,sal3,0
:,:,n
Know,know,s
you,you,s
how,how,s
much,much,s
the,the,s
people,people,s,topic_17,0,freq1,0,ig1,0,sal1,0
may,may,s
be,be,s
moved,moved,n,topic_13,0,freq2,0,ig5,0,sal3,0
By,by,s
that,that,s
which,which,s
he,he,s
will,will,s
utter,utter,,topic_27,0,freq3,0,ig5,0,sal2,0
?,?,n
By,by,s
your,your,s
pardon,pardon,,topic_27,0,freq1,0,ig5,0,sal1,0
;,;,n
I,i,s
will,will,s
myself,myself,s
into,into,s
the,the,s
pulpit,pulpit,s,topic_17,0,freq5,0,ig5,0,sal5,0
first,first,
",",",",n
And,and,s
show,show,s,topic_35,0,freq1,0,ig5,0,sal2,0
the,the,s
reason,reason,s,topic_35,0,freq2,0,ig5,0,sal3,0
of,of,s
our,our,s
Caesar's,caesar's,s,topic_17,0,freq2,0,ig4,0,sal1,0
death,death,,topic_21,0,freq1,0,ig5,0,sal1,0
:,:,n
What,what,s
Antony,antony,s
shall,shall,s
speak,speak,,topic_27,0,freq1,0,ig5,0,sal1,0
",",",",s
I,i,s
will,will,s
protest,protest,n,topic_46,0,freq4,0,ig5,0,sal4,0
He,he,s
speaks,speaks,s,topic_34,0,freq3,0,ig5,0,sal1,0
by,by,s
leave,leave,s,topic_31,0,freq1,0,ig5,0,sal1,0
and,and,s
by,by,s
permission,permission,,topic_17,0,freq5,0,ig5,0,sal5,0
",",",",n
And,and,s
that,that,s
we,we,s
are,are,s
contented,contented,s,topic_36,0,freq4,0,ig5,0,sal3,0
Caesar,caesar,s
shall,shall,n
Have,have,s
all,all,s
true,true,s,topic_46,0,freq1,0,ig5,0,sal2,0
rites,rites,s,topic_5,0,freq4,0,ig5,0,sal5,0
and,and,s
lawful,lawful,s,topic_44,0,freq3,0,ig5,0,sal4,0
ceremonies,ceremonies,,topic_42,0,freq5,0,ig5,0,sal5,0
.,.,n
It,it,s
shall,shall,s
advantage,advantage,s,topic_47,0,freq3,0,ig5,0,sal3,0
more,more,s
than,than,s
do,do,s
us,us,s
wrong,wrong,,topic_27,0,freq2,0,ig5,0,sal1,0
.,.,n
I,i,s
know,know,s
not,not,s
what,what,s
may,may,s
fall,fall,,topic_36,0,freq3,0,ig5,0,sal5,0
;,;,s
I,i,s
like,like,s
it,it,s
not,not,
.,.,n
Mark,mark,s,topic_17,0,freq2,0,ig5,0,sal3,0
Antony,antony,
",",",",s
here,here,
",",",",s
take,take,s
you,you,s
Caesar's,caesar's,s,topic_17,0,freq2,0,ig4,0,sal1,0
body,body,,topic_21,0,freq2,0,ig5,0,sal2,0
.,.,n
You,you,s
shall,shall,s
not,not,s
in,in,s
your,your,s
funeral,funeral,s,topic_9,0,freq4,0,ig1,0,sal3,0
speech,speech,s,topic_27,0,freq2,0,ig5,0,sal3,0
blame,blame,s,topic_17,0,freq4,0,ig5,0,sal5,0
us,us,
",",",",n
But,but,s
speak,speak,s,topic_27,0,freq1,0,ig5,0,sal1,0
all,all,s
good,good,s,topic_23,0,freq1,0,ig5,0,sal3,0
you,you,s
can,can,s
devise,devise,s,topic_46,0,freq5,0,ig5,0,sal5,0
of,of,s
Caesar,caesar,
",",",",n
And,and,s
say,say,s
you,you,s
do't,do't,s,topic_44,0,freq2,0,ig5,0,sal1,0
by,by,s
our,our,s
permission,permission,,topic_17,0,freq5,0,ig5,0,sal5,0
;,;,n
Else,else,s
shall,shall,s
you,you,s
not,not,s
have,have,s
any,any,s
hand,hand,s,topic_38,0,freq1,0,ig5,0,sal3,0
at,at,s
all,all,n
About,about,s
his,his,s
funeral,funeral,,topic_9,0,freq4,0,ig1,0,sal3,0
:,:,s
and,and,s
you,you,s
shall,shall,s
speak,speak,n,topic_27,0,freq1,0,ig5,0,sal1,0
In,in,s
the,the,s
same,same,s
pulpit,pulpit,s,topic_17,0,freq5,0,ig5,0,sal5,0
whereto,whereto,s,topic_4,0,freq3,0,ig4,0,sal2,0
I,i,s
am,am,s
going,going,
",",",",n
After,after,s
my,my,s
speech,speech,s,topic_27,0,freq2,0,ig5,0,sal3,0
is,is,s
ended,ended,,topic_45,0,freq4,0,ig5,0,sal3,0
.,.,n
Be,be,s
it,it,s
so,so,
.,.,n
I,i,s
do,do,s
desire,desire,s,topic_26,0,freq4,0,ig5,0,sal5,0
no,no,s
more,more,
.,.,n
Prepare,prepare,s,topic_12,0,freq4,0,ig5,0,sal5,0
the,the,s
body,body,s,topic_21,0,freq2,0,ig5,0,sal2,0
then,then,
",",",",s
and,and,s
follow,follow,s,topic_33,0,freq3,0,ig5,0,sal5,0
us,us,
.,.,n
O,o,
",",",",s
pardon,pardon,s,topic_27,0,freq1,0,ig5,0,sal1,0
me,me,
",",",",s
thou,thou,s
bleeding,bleeding,s,topic_21,0,freq4,0,ig5,0,sal3,0
piece,piece,s,topic_36,0,freq3,0,ig5,0,sal3,0
of,of,s
earth,earth,,topic_9,0,freq1,0,ig5,0,sal2,0
",",",",n
That,that,s
I,i,s
am,am,s
meek,meek,s,topic_38,0,freq5,0,ig5,0,sal5,0
and,and,s
gentle,gentle,s,topic_38,0,freq4,0,ig5,0,sal5,0
with,with,s
these,these,s
butchers,butchers,,topic_47,0,freq5,0,ig4,0,sal4,0
!,!,n
Thou,thou,s
art,art,s,topic_28,0,freq1,0,ig5,0,sal1,0
the,the,s
ruins,ruins,s,topic_49,0,freq5,0,ig5,0,sal5,0
of,of,s
the,the,s
noblest,noblest,s,topic_44,0,freq4,0,ig4,0,sal2,0
man,man,n
That,that,s
ever,ever,s
lived,lived,s,topic_22,0,freq3,0,ig5,0,sal3,0
in,in,s
the,the,s
tide,tide,s,topic_9,0,freq5,0,ig5,0,sal5,0
of,of,s
times,times,,topic_0,0,freq1,0,ig5,0,sal1,0
.,.,n
Woe,woe,s,topic_9,0,freq2,0,ig4,0,sal2,0
to,to,s
the,the,s
hand,hand,s,topic_38,0,freq1,0,ig5,0,sal3,0
that,that,s
shed,shed,s,topic_21,0,freq4,0,ig5,0,sal5,0
this,this,s
costly,costly,s,topic_31,0,freq5,0,ig5,0,sal4,0
blood,blood,,topic_21,0,freq1,0,ig5,0,sal2,0
!,!,n
Over,over,s
thy,thy,s
wounds,wounds,s,topic_17,0,freq3,0,ig5,0,sal3,0
now,now,s
do,do,s
I,i,s
prophesy,prophesy,,topic_21,0,freq4,0,ig4,0,sal3,0
",",",",
--,--,n
Which,which,
",",",",s
like,like,s
dumb,dumb,s,topic_9,0,freq4,0,ig5,0,sal4,0
mouths,mouths,,topic_35,0,freq3,0,ig4,0,sal2,0
",",",",s
do,do,s
ope,ope,s,topic_30,0,freq4,0,ig5,0,sal5,0
their,their,s
ruby,ruby,s,topic_26,0,freq5,0,ig2,0,sal5,0
lips,lips,,topic_9,0,freq3,0,ig5,0,sal4,0
",",",",n
To,to,s
beg,beg,s,topic_31,0,freq2,0,ig5,0,sal2,0
the,the,s
voice,voice,s,topic_27,0,freq3,0,ig5,0,sal5,0
and,and,s
utterance,utterance,s,topic_17,0,freq5,0,ig5,0,sal5,0
of,of,s
my,my,s
tongue,tongue,,topic_34,0,freq1,0,ig5,0,sal1,0
--,--,n
A,a,s
curse,curse,s,topic_21,0,freq3,0,ig5,0,sal3,0
shall,shall,s
light,light,s,topic_6,0,freq1,0,ig5,0,sal1,0
upon,upon,s
the,the,s
limbs,limbs,s,topic_38,0,freq3,0,ig5,0,sal2,0
of,of,s
men,men,,topic_35,0,freq1,0,ig5,0,sal1,0
;,;,n
Domestic,domestic,s,topic_13,0,freq4,0,ig1,0,sal3,0
fury,fury,s,topic_38,0,freq2,0,ig5,0,sal2,0
and,and,s
fierce,fierce,s,topic_38,0,freq3,0,ig4,0,sal2,0
civil,civil,s,topic_13,0,freq2,0,ig5,0,sal1,0
strife,strife,n,topic_38,0,freq3,0,ig1,0,sal2,0
Shall,shall,s
cumber,cumber,s,topic_28,0,freq5,0,ig5,0,sal5,0
all,all,s
the,the,s
parts,parts,s,topic_13,0,freq2,0,ig5,0,sal2,0
of,of,s
Italy,italy,,topic_44,0,freq3,0,ig4,0,sal2,0
;,;,n
Blood,blood,s,topic_38,0,freq1,0,ig5,0,sal1,0
and,and,s
destruction,destruction,s,topic_47,0,freq4,0,ig5,0,sal3,0
shall,shall,s
be,be,s
so,so,s
in,in,s
use,use,n
And,and,s
dreadful,dreadful,s,topic_21,0,freq5,0,ig5,0,sal5,0
objects,objects,s,topic_16,0,freq5,0,ig5,0,sal5,0
so,so,s
familiar,familiar,n,topic_13,0,freq3,0,ig5,0,sal3,0
That,that,s
mothers,mothers,s,topic_14,0,freq3,0,ig1,0,sal2,0
shall,shall,s
but,but,s
smile,smile,s,topic_13,0,freq3,0,ig5,0,sal3,0
when,when,s
they,they,s
behold,behold,n,topic_17,0,freq3,0,ig5,0,sal4,0
Their,their,s
infants,infants,s,topic_38,0,freq4,0,ig1,0,sal3,0
quarter'd,quarter'd,s,topic_8,0,freq5,0,ig5,0,sal5,0
with,with,s
the,the,s
hands,hands,s,topic_21,0,freq2,0,ig5,0,sal3,0
of,of,s
war,war,,topic_33,0,freq3,0,ig5,0,sal5,0
;,;,n
All,all,s
pity,pity,s,topic_35,0,freq2,0,ig5,0,sal4,0
choked,choked,s,topic_49,0,freq5,0,ig5,0,sal5,0
with,with,s
custom,custom,s,topic_17,0,freq4,0,ig5,0,sal4,0
of,of,s
fell,fell,s,topic_21,0,freq3,0,ig5,0,sal4,0
deeds,deeds,,topic_14,0,freq2,0,ig5,0,sal3,0
:,:,n
And,and,s
Caesar's,caesar's,s,topic_17,0,freq2,0,ig4,0,sal1,0
spirit,spirit,,topic_38,0,freq2,0,ig5,0,sal4,0
",",",",s
ranging,ranging,s,topic_30,0,freq5,0,ig5,0,sal5,0
for,for,s
revenge,revenge,,topic_21,0,freq2,0,ig5,0,sal1,0
",",",",n
With,with,s
Ate,ate,s,topic_16,0,freq5,0,ig1,0,sal4,0
by,by,s
his,his,s
side,side,s,topic_38,0,freq2,0,ig5,0,sal3,0
come,come,s
hot,hot,s,topic_36,0,freq3,0,ig5,0,sal4,0
from,from,s
hell,hell,,topic_16,0,freq2,0,ig5,0,sal1,0
",",",",n
Shall,shall,s
in,in,s
these,these,s
confines,confines,s,topic_9,0,freq5,0,ig1,0,sal4,0
with,with,s
a,a,s
monarch's,monarch's,s,topic_38,0,freq5,0,ig5,0,sal5,0
voice,voice,n,topic_27,0,freq3,0,ig5,0,sal5,0
Cry,cry,s,topic_10,0,freq1,0,ig5,0,sal3,0
',',
Havoc,havoc,,topic_13,0,freq4,0,ig5,0,sal4,0
",",",",
',',s
and,and,s
let,let,s
slip,slip,s,topic_42,0,freq3,0,ig5,0,sal3,0
the,the,s
dogs,dogs,s,topic_12,0,freq2,0,ig5,0,sal2,0
of,of,s
war,war,,topic_38,0,freq1,0,ig5,0,sal2,0
;,;,n
That,that,s
this,this,s
foul,foul,s,topic_16,0,freq2,0,ig5,0,sal3,0
deed,deed,s,topic_21,0,freq2,0,ig5,0,sal2,0
shall,shall,s
smell,smell,s,topic_44,0,freq3,0,ig5,0,sal3,0
above,above,s
the,the,s
earth,earth,n,topic_9,0,freq1,0,ig5,0,sal2,0
With,with,s
carrion,carrion,s,topic_47,0,freq5,0,ig5,0,sal5,0
men,men,,topic_35,0,freq1,0,ig5,0,sal1,0
",",",",s
groaning,groaning,s,topic_27,0,freq5,0,ig5,0,sal4,0
for,for,s
burial,burial,,topic_9,0,freq4,0,ig5,0,sal4,0
.,.,n
You,you,s
serve,serve,s,topic_44,0,freq3,0,ig5,0,sal4,0
Octavius,octavius,s
Caesar,caesar,
",",",",s
do,do,s
you,you,s
not,not,
?,?,n
I,i,s
do,do,
",",",",s
Mark,mark,s,topic_17,0,freq2,0,ig5,0,sal3,0
Antony,antony,
.,.,n
Caesar,caesar,s
did,did,s
write,write,s,topic_7,0,freq2,0,ig1,0,sal2,0
for,for,s
him,him,s
to,to,s
come,come,s
to,to,s
Rome,rome,,topic_17,0,freq1,0,ig5,0,sal1,0
.,.,n
He,he,s
did,did,s
receive,receive,s,topic_49,0,freq3,0,ig5,0,sal3,0
his,his,s
letters,letters,,topic_47,0,freq2,0,ig5,0,sal3,0
",",",",s
and,and,s
is,is,s
coming,coming,,topic_7,0,freq3,0,ig5,0,sal4,0
;,;,n
And,and,s
bid,bid,s,topic_46,0,freq3,0,ig5,0,sal4,0
me,me,s
say,say,s
to,to,s
you,you,s
by,by,s
word,word,s,topic_0,0,freq2,0,ig5,0,sal3,0
of,of,s
mouth,mouth,,topic_41,0,freq2,0,ig5,0,sal2,0
--,--,n
O,o,s
Caesar,caesar,
!,!,
--,--,n
Thy,thy,s
heart,heart,s,topic_5,0,freq2,0,ig5,0,sal4,0
is,is,s
big,big,,topic_46,0,freq3,0,ig5,0,sal2,0
",",",",s
get,get,s
thee,thee,s
apart,apart,s
and,and,s
weep,weep,,topic_9,0,freq2,0,ig4,0,sal1,0
.,.,n
Passion,passion,,topic_16,0,freq2,0,ig5,0,sal2,0
",",",",s
I,i,s
see,see,
",",",",s
is,is,s
catching,catching,,topic_13,0,freq4,0,ig1,0,sal3,0
;,;,s
for,for,s
mine,mine,s,topic_0,0,freq1,0,ig5,0,sal3,0
eyes,eyes,,topic_9,0,freq2,0,ig5,0,sal4,0
",",",",n
Seeing,seeing,s
those,those,s
beads,beads,s,topic_27,0,freq4,0,ig1,0,sal3,0
of,of,s
sorrow,sorrow,s,topic_9,0,freq1,0,ig4,0,sal1,0
stand,stand,s,topic_36,0,freq1,0,ig5,0,sal1,0
in,in,s
thine,thine,,topic_28,0,freq2,0,ig5,0,sal2,0
",",",",n
Began,began,s,topic_38,0,freq4,0,ig5,0,sal5,0
to,to,s
water,water,,topic_4,0,freq2,0,ig5,0,sal4,0
.,.,s
Is,is,s
thy,thy,s
master,master,s
coming,coming,,topic_41,0,freq3,0,ig5,0,sal5,0
?,?,n
He,he,s
lies,lies,s,topic_34,0,freq3,0,ig5,0,sal2,0
to-night,to-night,s,topic_16,0,freq4,0,ig5,0,sal5,0
within,within,s
seven,seven,s
leagues,leagues,s,topic_31,0,freq4,0,ig5,0,sal4,0
of,of,s
Rome,rome,,topic_17,0,freq1,0,ig5,0,sal1,0
.,.,n
Post,post,s
back,back,s,topic_28,0,freq3,0,ig5,0,sal4,0
with,with,s
speed,speed,
",",",",s
and,and,s
tell,tell,s
him,him,s
what,what,s
hath,hath,s,topic_27,0,freq2,0,ig5,0,sal5,0
chanced,chanced,,topic_35,0,freq5,0,ig5,0,sal5,0
:,:,n
Here,here,s
is,is,s
a,a,s
mourning,mourning,s,topic_9,0,freq4,0,ig1,0,sal3,0
Rome,rome,,topic_17,0,freq1,0,ig5,0,sal1,0
",",",",s
a,a,s
dangerous,dangerous,s,topic_35,0,freq3,0,ig5,0,sal3,0
Rome,rome,,topic_17,0,freq1,0,ig5,0,sal1,0
",",",",n
No,no,s
Rome,rome,s,topic_17,0,freq1,0,ig5,0,sal1,0
of,of,s
safety,safety,s,topic_47,0,freq2,0,ig5,0,sal2,0
for,for,s
Octavius,octavius,s
yet,yet,
;,;,n
Hie,hie,s,topic_11,0,freq3,0,ig5,0,sal3,0
hence,hence,
",",",",s
and,and,s
tell,tell,s
him,him,s
so,so,
.,.,s
Yet,yet,
",",",",s
stay,stay,s,topic_9,0,freq2,0,ig5,0,sal3,0
awhile,awhile,,topic_36,0,freq2,0,ig5,0,sal2,0
;,;,n
Thou,thou,s
shalt,shalt,s,topic_28,0,freq2,0,ig5,0,sal2,0
not,not,s
back,back,s,topic_28,0,freq3,0,ig5,0,sal4,0
till,till,s,topic_11,0,freq1,0,ig5,0,sal4,0
I,i,s
have,have,s
borne,borne,s,topic_8,0,freq3,0,ig5,0,sal4,0
this,this,s
corse,corse,n,topic_38,0,freq5,0,ig5,0,sal5,0
Into,into,s
the,the,s
market-place,market-place,,topic_17,0,freq4,0,ig5,0,sal3,0
:,:,s
there,there,s
shall,shall,s
I,i,s
try,try,n
In,in,s
my,my,s
oration,oration,,topic_29,0,freq5,0,ig5,0,sal5,0
",",",",s
how,how,s
the,the,s
people,people,s,topic_17,0,freq1,0,ig1,0,sal1,0
take,take,n
The,the,s
cruel,cruel,s,topic_21,0,freq4,0,ig5,0,sal4,0
issue,issue,s,topic_38,0,freq4,0,ig5,0,sal5,0
of,of,s
these,these,s
bloody,bloody,s,topic_21,0,freq2,0,ig5,0,sal2,0
men,men,,topic_35,0,freq1,0,ig5,0,sal1,0
;,;,n
According,according,s
to,to,s
the,the,s
which,which,
",",",",s
thou,thou,s
shalt,shalt,s,topic_28,0,freq2,0,ig5,0,sal2,0
discourse,discourse,n,topic_5,0,freq3,0,ig5,0,sal4,0
To,to,s
young,young,s,topic_6,0,freq2,0,ig5,0,sal5,0
Octavius,octavius,s
of,of,s
the,the,s
state,state,s,topic_8,0,freq2,0,ig5,0,sal3,0
of,of,s
things,things,,topic_25,0,freq2,0,ig5,0,sal3,0
.,.,n
Lend,lend,s,topic_20,0,freq2,0,ig5,0,sal2,0
me,me,s
your,your,s
hand,hand,,topic_38,0,freq1,0,ig5,0,sal3,0
.,.,n
We,we,s
will,will,s
be,be,s
satisfied,satisfied,,topic_35,0,freq4,0,ig5,0,sal4,0
;,;,s
let,let,s
us,us,s
be,be,s
satisfied,satisfied,,topic_35,0,freq4,0,ig5,0,sal4,0
.,.,n
Then,then,s
follow,follow,s,topic_42,0,freq1,0,ig5,0,sal2,0
me,me,
",",",",s
and,and,s
give,give,s,topic_34,0,freq1,0,ig5,0,sal2,0
me,me,s
audience,audience,,topic_13,0,freq3,0,ig5,0,sal2,0
",",",",s
friends,friends,,topic_17,0,freq1,0,ig5,0,sal2,0
.,.,n
Cassius,cassius,
",",",",s
go,go,s
you,you,s
into,into,s
the,the,s
other,other,s
street,street,,topic_11,0,freq3,0,ig5,0,sal2,0
",",",",n
And,and,s
